,Time,Name,Maternal mortality ratio (%)
631,2000-01-01,Lao People's Dem. Rep.,0.418
632,2000-01-01,Slovenia,0.011
633,2000-01-01,Switzerland,0.007
634,2000-01-01,TFYR of Macedonia,0.01
635,2000-01-01,Tajikistan,0.046
636,2000-01-01,Thailand,0.026
637,2000-01-01,Timor-Leste,0.506
638,2000-01-01,Afghanistan,0.821
639,2000-01-01,Brazil,0.067
640,2000-01-01,Syrian Arab Republic,0.058
641,2000-01-01,Ghana,0.376
642,2000-01-01,Brunei Darussalam,0.03
643,2000-01-01,Sudan,0.44
644,2000-01-01,Cameroon,0.729
645,2000-01-01,Cambodia,0.315
646,2000-01-01,South Sudan,1.088
647,2000-01-01,Southern Asia,0.288
648,2000-01-01,South Africa,0.112
649,2000-01-01,Cabo Verde,0.054
650,2000-01-01,Solomon Islands,0.164
651,2000-01-01,Burundi,0.863
652,2000-01-01,Spain,0.005
653,2000-01-01,Bulgaria,0.015
654,2000-01-01,Somalia,0.939
655,2000-01-01,Sri Lanka,0.043
656,2000-01-01,State of Palestine,0.062
657,2000-01-01,Sub-Saharan Africa,0.717
658,2000-01-01,Burkina Faso,0.468
659,2000-01-01,Botswana,0.276
660,2000-01-01,Togo,0.427
661,2000-01-01,"Total, all countries or areas",0.288
662,2000-01-01,United Kingdom,0.012
663,2000-01-01,United Rep. of Tanzania,0.687
664,2000-01-01,Bolivia (Plurin. State of),0.305
665,2000-01-01,United States of America,0.013
666,2000-01-01,Bhutan,0.308
667,2000-01-01,Uzbekistan,0.042
668,2000-01-01,Tonga,0.114
669,2000-01-01,Senegal,0.427
670,2000-01-01,Latvia,0.022
671,2000-01-01,Venezuela (Boliv. Rep. of),0.093
672,2000-01-01,Benin,0.502
673,2000-01-01,Viet Nam,0.061
674,2000-01-01,Gabon,0.37
675,2000-01-01,Belize,0.052
676,2000-01-01,Vanuatu,0.116
677,2000-01-01,Serbia,0.015
678,2000-01-01,South-eastern Asia,0.166
679,2000-01-01,Uganda,0.504
680,2000-01-01,Bosnia and Herzegovina,0.014
681,2000-01-01,Latin America & the Caribbean,0.088
682,2000-01-01,Trinidad and Tobago,0.062
683,2000-01-01,Ukraine,0.03
684,2000-01-01,Tunisia,0.074
685,2000-01-01,Turkey,0.057
686,2000-01-01,Sierra Leone,1.986
687,2000-01-01,Singapore,0.016
688,2000-01-01,United Arab Emirates,0.006
689,2000-01-01,Gambia,0.807
690,2000-01-01,Georgia,0.037
691,2000-01-01,Turkmenistan,0.053
692,2000-01-01,Australia and New Zealand,
693,2000-01-01,Africa,
694,2000-01-01,Central Asia,
695,2000-01-01,New Caledonia,
696,2000-01-01,Channel Islands,
697,2000-01-01,South-central Asia,
698,2000-01-01,Central America,
699,2000-01-01,Antigua and Barbuda,
700,2000-01-01,Southern Europe,
701,2000-01-01,Southern Africa,
702,2000-01-01,Africa,
703,2000-01-01,Western Europe,
704,2000-01-01,South America,
705,2000-01-01,Réunion,
706,2000-01-01,Polynesia,
707,2000-01-01,Australia and New Zealand,
708,2000-01-01,United States Virgin Islands,
709,2000-01-01,Uruguay,0.026
710,2000-01-01,Asia,
711,2000-01-01,Aruba,
712,2000-01-01,Antigua and Barbuda,
713,2000-01-01,Western Africa,
714,2000-01-01,Australia and New Zealand,
715,2000-01-01,Northern America,
716,2000-01-01,Seychelles,
717,2000-01-01,Asia,
718,2000-01-01,Aruba,
719,2000-01-01,Western Sahara,
720,2000-01-01,Oceania,
721,2000-01-01,Slovakia,0.007
