,Time,Name,Fertility rate
650,2000-01-01,Solomon Islands,4.6
651,2000-01-01,Burundi,6.9
652,2000-01-01,Spain,1.3
653,2000-01-01,Bulgaria,1.2
654,2000-01-01,Somalia,7.5
655,2000-01-01,Sri Lanka,2.3
656,2000-01-01,State of Palestine,5.0
657,2000-01-01,Sub-Saharan Africa,5.6
658,2000-01-01,Burkina Faso,6.4
659,2000-01-01,Botswana,3.2
660,2000-01-01,Togo,5.3
661,2000-01-01,"Total, all countries or areas",2.6
662,2000-01-01,United Kingdom,1.7
663,2000-01-01,United Rep. of Tanzania,5.7
664,2000-01-01,Bolivia (Plurin. State of),3.8
665,2000-01-01,United States of America,2.0
666,2000-01-01,Bhutan,3.1
667,2000-01-01,Uzbekistan,2.5
668,2000-01-01,Tonga,4.2
669,2000-01-01,Senegal,5.3
670,2000-01-01,Latvia,1.3
671,2000-01-01,Venezuela (Boliv. Rep. of),2.7
672,2000-01-01,Benin,5.8
673,2000-01-01,Viet Nam,1.9
674,2000-01-01,Gabon,4.4
675,2000-01-01,Belize,3.4
676,2000-01-01,Vanuatu,4.1
677,2000-01-01,Serbia,1.7
678,2000-01-01,South-eastern Asia,2.5
679,2000-01-01,Uganda,6.7
680,2000-01-01,Bosnia and Herzegovina,1.3
681,2000-01-01,Latin America & the Caribbean,2.5
682,2000-01-01,Trinidad and Tobago,1.8
683,2000-01-01,Ukraine,1.1
684,2000-01-01,Tunisia,2.0
685,2000-01-01,Turkey,2.4
686,2000-01-01,Sierra Leone,6.1
687,2000-01-01,Singapore,1.3
688,2000-01-01,United Arab Emirates,2.4
689,2000-01-01,Gambia,5.9
690,2000-01-01,Georgia,1.6
691,2000-01-01,Turkmenistan,2.8
692,2000-01-01,Australia and New Zealand,1.8
693,2000-01-01,Africa,5.1
694,2000-01-01,Central Asia,2.5
695,2000-01-01,New Caledonia,2.3
696,2000-01-01,Channel Islands,1.4
697,2000-01-01,South-central Asia,3.2
698,2000-01-01,Central America,2.8
699,2000-01-01,Antigua and Barbuda,2.3
700,2000-01-01,Southern Europe,1.4
701,2000-01-01,Southern Africa,2.9
702,2000-01-01,Africa,5.1
703,2000-01-01,Western Europe,1.6
704,2000-01-01,South America,2.4
705,2000-01-01,Réunion,2.4
706,2000-01-01,Polynesia,3.3
707,2000-01-01,Australia and New Zealand,1.8
708,2000-01-01,United States Virgin Islands,2.1
709,2000-01-01,Uruguay,2.2
710,2000-01-01,Asia,2.4
711,2000-01-01,Aruba,1.8
712,2000-01-01,Antigua and Barbuda,2.3
713,2000-01-01,Western Africa,6.0
714,2000-01-01,Australia and New Zealand,1.8
715,2000-01-01,Northern America,2.0
716,2000-01-01,Seychelles,2.2
717,2000-01-01,Asia,2.4
718,2000-01-01,Aruba,1.8
