,Time,Name,Population growth (%),Life expectancy (years)
397,2000-01-01,Nepal,1.5,64.1
398,2000-01-01,Haiti,1.6,58.3
399,2000-01-01,Belize,2.7,68.5
400,2000-01-01,Benin,3.0,56.2
401,2000-01-01,Kenya,2.7,52.7
402,2000-01-01,Lithuania,-0.9,71.6
403,2000-01-01,Luxembourg,1.0,78.3
404,2000-01-01,Madagascar,3.0,60.0
405,2000-01-01,Malawi,2.7,47.3
406,2000-01-01,Brazil,1.3,71.1
407,2000-01-01,Malaysia,2.0,73.2
408,2000-01-01,Maldives,2.6,72.1
409,2000-01-01,Mali,3.1,50.0
410,2000-01-01,Botswana,1.4,49.2
411,2000-01-01,Malta,0.5,78.5
412,2000-01-01,Hungary,-0.3,72.5
413,2000-01-01,Bosnia and Herzegovina,0.1,74.8
414,2000-01-01,Kazakhstan,0.6,64.6
415,2000-01-01,Bolivia (Plurin. State of),1.8,62.1
416,2000-01-01,Mauritania,2.9,60.3
417,2000-01-01,Mauritius,0.6,72.1
418,2000-01-01,Bhutan,2.7,62.9
419,2000-01-01,Netherlands,0.5,78.7
420,2000-01-01,Iceland,1.0,80.7
421,2000-01-01,Bahrain,5.8,74.9
422,2000-01-01,Nicaragua,1.4,70.9
423,2000-01-01,Poland,-0.1,74.6
424,2000-01-01,Angola,3.5,50.0
425,2000-01-01,Portugal,0.4,77.6
426,2000-01-01,Puerto Rico,-0.2,76.8
427,2000-01-01,Qatar,7.6,76.6
428,2000-01-01,Republic of Korea,0.6,77.2
429,2000-01-01,Kuwait,2.1,73.3
430,2000-01-01,Kiribati,1.8,64.5
431,2000-01-01,Republic of Moldova,-0.2,67.6
432,2000-01-01,Colombia,1.4,71.7
433,2000-01-01,Rwanda,2.3,50.6
434,2000-01-01,Kyrgyzstan,0.6,66.9
435,2000-01-01,Algeria,1.3,71.5
436,2000-01-01,Saint Lucia,0.8,72.1
437,2000-01-01,Grenada,0.3,70.9
438,2000-01-01,Saint Vincent & Grenadines,0.2,70.7
439,2000-01-01,Romania,-0.6,71.5
440,2000-01-01,Philippines,2.0,67.5
441,2000-01-01,Peru,1.3,71.6
442,2000-01-01,Paraguay,1.8,70.8
443,2000-01-01,Niger,3.6,51.4
444,2000-01-01,Nigeria,2.5,46.9
445,2000-01-01,Guinea-Bissau,2.1,52.7
446,2000-01-01,Northern Africa,1.7,67.9
447,2000-01-01,Bahamas,2.0,73.2
448,2000-01-01,Azerbaijan,1.0,67.4
449,2000-01-01,Guinea,1.9,51.3
450,2000-01-01,Austria,0.5,78.9
451,2000-01-01,Norway,0.6,79.3
452,2000-01-01,Australia,1.2,80.3
453,2000-01-01,Oman,2.0,73.2
454,2000-01-01,Pakistan,2.1,63.3
455,2000-01-01,Armenia,-0.6,72.4
