,Time,Name,Population growth (%)
685,2000-01-01,Turkey,1.4
686,2000-01-01,Sierra Leone,4.3
687,2000-01-01,Singapore,2.8
688,2000-01-01,United Arab Emirates,7.5
689,2000-01-01,Gambia,3.2
690,2000-01-01,Georgia,-1.0
691,2000-01-01,Turkmenistan,1.0
692,2000-01-01,Australia and New Zealand,1.2
693,2000-01-01,Africa,2.5
694,2000-01-01,Central Asia,1.1
695,2000-01-01,New Caledonia,1.8
696,2000-01-01,Channel Islands,0.7
697,2000-01-01,South-central Asia,1.7
698,2000-01-01,Central America,1.4
699,2000-01-01,Antigua and Barbuda,1.3
700,2000-01-01,Southern Europe,0.6
701,2000-01-01,Southern Africa,1.3
702,2000-01-01,Africa,2.5
703,2000-01-01,Western Europe,0.3
704,2000-01-01,South America,1.3
705,2000-01-01,Réunion,1.4
706,2000-01-01,Polynesia,0.9
707,2000-01-01,Australia and New Zealand,1.2
708,2000-01-01,United States Virgin Islands,-0.2
709,2000-01-01,Uruguay,
710,2000-01-01,Asia,1.2
711,2000-01-01,Aruba,1.9
712,2000-01-01,Antigua and Barbuda,1.3
713,2000-01-01,Western Africa,2.6
714,2000-01-01,Australia and New Zealand,1.2
