,Time,Name,State.Name
738,2000-01-01,De Witt County,4554
739,2000-01-01,DeKalb County,4583
740,2000-01-01,DeKalb County,4550
741,2000-01-01,DeKalb County,4555
742,2000-01-01,DeKalb County,4554
743,2000-01-01,DeKalb County,4541
744,2000-01-01,DeKalb County,4564
745,2000-01-01,DeSoto County,4549
746,2000-01-01,DeSoto County,4565
747,2000-01-01,DeWitt County,4584
748,2000-01-01,Deaf Smith County,4584
749,2000-01-01,Dearborn County,4555
750,2000-01-01,Decatur County,4583
751,2000-01-01,Decatur County,4550
752,2000-01-01,Decatur County,4555
753,2000-01-01,Decatur County,4556
754,2000-01-01,Decatur County,4552
755,2000-01-01,Deer Lodge County,4566
756,2000-01-01,Defiance County,4575
757,2000-01-01,Del Norte County,4544
758,2000-01-01,Delaware County,4575
759,2000-01-01,Delaware County,4576
760,2000-01-01,Delaware County,4578
761,2000-01-01,Delaware County,4574
762,2000-01-01,Delaware County,4555
763,2000-01-01,Delaware County,4552
764,2000-01-01,Delta County,4584
765,2000-01-01,Delta County,4545
766,2000-01-01,Delta County,4562
767,2000-01-01,Denali Borough,4540
768,2000-01-01,Dent County,4564
